epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
0,68,,,0.18037135899066925,0.10178149491548538,2.0763657093048096,0.3347278833389282,0.1825396865606308
0,68,0.34738773107528687,1.6475493907928467,,,,,
1,137,,,0.40848806500434875,0.3660530745983124,1.6150143146514893,0.5575966835021973,0.4099031686782837
1,137,0.5265811085700989,1.2351611852645874,,,,,
2,206,,,0.5411140322685242,0.5304603576660156,1.3645504713058472,0.5957295894622803,0.5421782732009888
2,206,0.5834097266197205,1.1028021574020386,,,,,
3,275,,,0.5305039882659912,0.5216469168663025,1.377685546875,0.5605490207672119,0.5310472249984741
3,275,0.6264894604682922,0.9728825092315674,,,,,
4,344,,,0.5994694828987122,0.5842814445495605,1.216639518737793,0.627718448638916,0.5998802185058594
4,344,0.6521539688110352,0.946225643157959,,,,,
5,413,,,0.5888594388961792,0.567718505859375,1.2166621685028076,0.6134989857673645,0.5893980264663696
5,413,0.6480293273925781,0.9605802297592163,,,,,
6,482,,,0.6100795865058899,0.6063750982284546,1.231652021408081,0.6440836191177368,0.6097134947776794
6,482,0.6929422616958618,0.8244906663894653,,,,,
7,551,,,0.5994694828987122,0.5894691348075867,1.2275089025497437,0.600261926651001,0.5992313027381897
7,551,0.7108157873153687,0.7833102345466614,,,,,
8,620,,,0.5623342394828796,0.5498757362365723,1.3666776418685913,0.5996155142784119,0.5626435279846191
8,620,0.7117323279380798,0.7649933099746704,,,,,
9,689,,,0.6259946823120117,0.6191312670707703,1.2119512557983398,0.633086621761322,0.6262853145599365
9,689,0.7383134961128235,0.6994772553443909,,,,,
10,758,,,0.6498673558235168,0.6430344581604004,1.1863172054290771,0.6585135459899902,0.6500948667526245
10,758,0.7855178713798523,0.6176974773406982,,,,,
11,827,,,0.6366047859191895,0.6334116458892822,1.1580380201339722,0.6453589200973511,0.6365678310394287
11,827,0.7859761714935303,0.6193955540657043,,,,,
12,896,,,0.6472148299217224,0.6405479907989502,1.1674057245254517,0.6530417203903198,0.6473994255065918
12,896,0.7781851291656494,0.6045933961868286,,,,,
13,965,,,0.6233421564102173,0.6173281669616699,1.2115845680236816,0.6313138604164124,0.6237396001815796
13,965,0.7754353880882263,0.5973068475723267,,,,,
14,1034,,,0.6127321124076843,0.6096802353858948,1.1858017444610596,0.6194630265235901,0.6127582788467407
14,1034,0.8010998964309692,0.5693394541740417,,,,,
15,1103,,,0.6312997341156006,0.6267003417015076,1.202805519104004,0.6475316286087036,0.6313766241073608
15,1103,0.7836846709251404,0.5917283892631531,,,,,
16,1172,,,0.6392573118209839,0.6340306997299194,1.185118317604065,0.648236870765686,0.6393630504608154
16,1172,0.8056828379631042,0.5557960867881775,,,,,
17,1241,,,0.6445623636245728,0.6398029327392578,1.1822562217712402,0.6541455388069153,0.6446540951728821
17,1241,0.8010998964309692,0.5724901556968689,,,,,
18,1310,,,0.6445623636245728,0.6395105719566345,1.180493712425232,0.6540796756744385,0.6446540951728821
18,1310,0.8020164966583252,0.5696397423744202,,,,,
19,1379,,,0.6445623636245728,0.6399408578872681,1.1845943927764893,0.654457688331604,0.6446540951728821
19,1379,0.8093492388725281,0.5453070998191833,,,,,
